symbol,timestamp,open,high,low,close,volume
BTCUSDT,2023-01-01,16541.77000000,16628.00000000,16499.01000000,16616.75000000,96925.41374000
BTCUSDT,2023-01-02,16617.17000000,16799.23000000,16548.70000000,16672.87000000,121888.57191000
BTCUSDT,2023-01-03,16672.78000000,16778.40000000,16605.28000000,16675.18000000,159541.53733000
BTCUSDT,2023-01-04,16675.65000000,16991.87000000,16652.66000000,16850.36000000,220362.18862000
BTCUSDT,2023-01-05,16850.36000000,16879.82000000,16753.00000000,16831.85000000,163473.56641000
BTCUSDT,2023-01-06,16831.85000000,17041.00000000,16679.00000000,16950.65000000,207401.28415000
BTCUSDT,2023-01-07,16950.31000000,16981.91000000,16908.00000000,16943.57000000,104526.56880000
BTCUSDT,2023-01-08,16943.83000000,17176.99000000,16911.00000000,17127.83000000,135155.89695000
BTCUSDT,2023-01-09,17127.83000000,17398.80000000,17104.66000000,17178.26000000,266211.52723000
BTCUSDT,2023-01-10,17179.04000000,17499.00000000,17146.34000000,17440.66000000,221382.42581000
ETHUSDT,2023-01-01,1196.13000000,1204.67000000,1190.57000000,1200.34000000,117762.06850000
ETHUSDT,2023-01-02,1200.33000000,1224.29000000,1193.00000000,1214.00000000,252794.14000000
ETHUSDT,2023-01-03,1213.99000000,1219.89000000,1204.93000000,1214.55000000,205519.49440000
ETHUSDT,2023-01-04,1214.56000000,1272.60000000,1212.71000000,1256.90000000,457799.66480000
ETHUSDT,2023-01-05,1256.91000000,1259.95000000,1242.81000000,1251.24000000,272805.33000000
ETHUSDT,2023-01-06,1251.25000000,1276.70000000,1236.00000000,1269.14000000,342344.20230000
ETHUSDT,2023-01-07,1269.13000000,1271.09000000,1261.30000000,1264.07000000,129474.28840000
ETHUSDT,2023-01-08,1264.06000000,1296.00000000,1257.77000000,1290.16000000,213636.78480000
ETHUSDT,2023-01-09,1290.15000000,1344.91000000,1285.44000000,1320.39000000,581727.69680000
ETHUSDT,2023-01-10,1320.40000000,1347.69000000,1316.80000000,1335.62000000,459660.23070000
BTCEUR,2023-01-01,15425.08000000,15487.35000000,15377.15000000,15469.80000000,706.36148000
BTCEUR,2023-01-02,15467.46000000,15700.33000000,15416.11000000,15586.86000000,1481.43946000
BTCEUR,2023-01-03,15585.88000000,15870.13000000,15563.69000000,15801.07000000,1452.26914000
BTCEUR,2023-01-04,15803.30000000,16031.64000000,15771.00000000,15889.31000000,1781.13850000
BTCEUR,2023-01-05,15886.01000000,16034.95000000,15797.24000000,15993.84000000,1271.42180000
BTCEUR,2023-01-06,15993.84000000,16015.00000000,15809.07000000,15924.82000000,1418.74607000
BTCEUR,2023-01-07,15924.83000000,15954.45000000,15889.11000000,15917.02000000,420.30997000
BTCEUR,2023-01-08,15916.00000000,16100.00000000,15885.56000000,16061.86000000,803.36468000
BTCEUR,2023-01-09,16062.16000000,16202.07000000,15961.07000000,16013.28000000,2437.92647000
BTCEUR,2023-01-10,16010.68000000,16300.00000000,15993.31000000,16253.31000000,1885.37526000
ETHEUR,2023-01-01,1115.34000000,1122.56000000,1109.90000000,1117.41000000,7850.55430000
ETHEUR,2023-01-02,1117.33000000,1143.81000000,1111.25000000,1134.70000000,13972.84470000
ETHEUR,2023-01-03,1134.61000000,1153.88000000,1133.97000000,1151.20000000,14801.78690000
ETHEUR,2023-01-04,1151.19000000,1198.40000000,1148.43000000,1184.80000000,22230.56270000
ETHEUR,2023-01-05,1184.81000000,1192.16000000,1172.00000000,1189.00000000,13142.78960000
ETHEUR,2023-01-06,1189.07000000,1199.00000000,1176.39000000,1192.48000000,13151.09470000
ETHEUR,2023-01-07,1192.48000000,1194.21000000,1185.14000000,1187.21000000,2473.55080000
ETHEUR,2023-01-08,1187.50000000,1214.39000000,1181.62000000,1210.01000000,4341.82580000
ETHEUR,2023-01-09,1210.45000000,1251.98000000,1204.83000000,1230.80000000,11833.07190000
ETHEUR,2023-01-10,1230.74000000,1255.00000000,1228.28000000,1244.44000000,7335.93450000
